"HolderAddress","Balance","PendingBalanceUpdate"
"0xf6cc2a0bf605424b70bfce243fb4011efaa309e6","76016.862316483","No"
"0xf79c58df9730a9e092da91f2788c40bc7ce106a9","66.241972233","No"
"0xf7a0354f7c512c75dddefa43288cfc55f803da97","3890.290145503","No"
"0xf7b3b6833d32a12fd2d05deab7621ec9b5c0b37b","5E-09","No"
"0xf7e1e7c1fdbf1b6e51a58c68ef7d9aff61070dc8","269.385610805","No"
"0xfb6fdd2307aac3329c39aa04fda6987e0a5e510b","9E-09","No"
"0xfbf23f877c2dd8ef7847bf4427a2f87d3fa651fc","255196.327635252","No"
"0xfcdb88a3111e061d946589775d0f299a7d7e6a67","3E-09","No"
"0xff2d1486bfecad5124d4272db242b335401ec6ec","4.15E-07","No"
"0xffe231ec752fd2b20acc3614ccf92ae04162c99f","17.288023817","No"
